pose,start,finish_time,goal_state
"[651, 305]",1515864436.394575,1515864457.405515,4
"[651, 306]",1515864469.417349,1515864490.763926,4
"[651, 307]",1515864502.77686,1515864524.124613,4
"[651, 308]",1515864536.136219,1515864557.484796,4
"[651, 309]",1515864569.493942,1515864590.84227,4
"[651, 310]",1515864602.850077,1515864624.198463,4
"[651, 311]",1515864636.210075,1515864657.220295,4
"[651, 312]",1515864669.230393,1515864690.579904,4
"[651, 313]",1515864702.590066,1515864723.939056,4
"[651, 314]",1515864735.946554,1515864757.294786,4
"[651, 315]",1515864769.301889,1515864790.650071,4
"[651, 316]",1515864802.660598,1515864824.00937,4
"[651, 317]",1515864836.020493,1515864857.368416,4
"[651, 318]",1515864869.381753,1515864890.729985,4
"[651, 319]",1515864902.738319,1515864924.084871,4
"[651, 320]",1515864936.093914,1515864957.442938,4
"[651, 321]",1515864969.451405,1515864990.800034,4
"[651, 322]",1515865002.810066,1515865023.821826,4
"[651, 323]",1515865035.833524,1515865057.182751,4
"[651, 324]",1515865069.192295,1515865090.539786,4
"[651, 325]",1515865102.549175,1515865123.559069,4
"[651, 326]",1515865135.568908,1515865156.916895,4
"[651, 327]",1515865168.929165,1515865190.278141,4
"[651, 328]",1515865202.287412,1515865223.635356,4
"[651, 329]",1515865235.646581,1515865256.995843,4
"[651, 330]",1515865269.00531,1515865290.353772,4
"[651, 331]",1515865302.367382,1515865323.715816,4
"[651, 332]",1515865335.725535,1515865357.073069,4
"[651, 333]",1515865369.079658,1515865390.427976,4
"[651, 334]",1515865402.438059,1515865423.787266,4
"[651, 335]",1515865435.795032,1515865457.143554,4
"[651, 336]",1515865469.153871,1515865490.501779,4
"[651, 337]",1515865502.514074,1515865523.860142,4
"[651, 338]",1515865535.866061,1515865557.214765,4
"[651, 339]",1515865569.223873,1515865590.572446,4
"[651, 340]",1515865602.579919,1515865623.92671,4
"[651, 341]",1515865635.934065,1515865657.281912,4
"[651, 342]",1515865669.289719,1515865690.638658,4
"[651, 343]",1515865702.64855,1515865723.997189,4
"[651, 344]",1515865736.006078,1515865757.354126,4
"[651, 345]",1515865769.362127,1515865790.710332,4
"[651, 346]",1515865802.718553,1515865824.066196,4
"[651, 347]",1515865836.074099,1515865857.421956,4
"[651, 348]",1515865869.435939,1515865890.784374,4
"[651, 349]",1515865902.794614,1515865923.805256,4
"[651, 350]",1515865935.814975,1515865957.162088,4
"[651, 351]",1515865969.170681,1515865990.518615,4
"[651, 352]",1515866002.530514,1515866023.879365,4
"[651, 353]",1515866035.888579,1515866057.233942,4
"[651, 354]",1515866069.242918,1515866090.590594,4
"[651, 355]",1515866102.599822,1515866123.948298,4
"[651, 356]",1515866135.956188,1515866157.304726,4
"[651, 357]",1515866169.316717,1515866190.664624,4
"[651, 358]",1515866202.674076,1515866224.022223,4
"[651, 359]",1515866236.029623,1515866257.37852,4
"[651, 360]",1515866269.385889,1515866290.732353,4
"[651, 361]",1515866302.743348,1515866324.09263,4
"[651, 362]",1515866336.102096,1515866357.45013,4
"[651, 363]",1515866369.46244,1515866390.473539,4
"[651, 364]",1515866402.479179,1515866423.826589,4
"[651, 365]",1515866435.834852,1515866457.182793,4
