pose,start,finish_time,goal_state
"[652, 459]",1515869944.507824,1515869965.854965,4
"[652, 460]",1515869977.863031,1515869999.210984,4
"[652, 461]",1515870011.219729,1515870032.567192,4
"[652, 462]",1515870044.576863,1515870065.924896,4
"[652, 463]",1515870077.930821,1515870099.278551,4
"[652, 464]",1515870111.28606,1515870132.634143,4
"[652, 465]",1515870144.646449,1515870165.995607,4
"[652, 466]",1515870178.007782,1515870199.354666,4
"[652, 467]",1515870211.362502,1515870232.711306,4
"[652, 468]",1515870244.720538,1515870266.068229,4
"[652, 469]",1515870278.078341,1515870299.426729,4
"[652, 470]",1515870311.434061,1515870332.782297,4
"[652, 471]",1515870344.790066,1515870366.13849,4
"[652, 472]",1515870378.148437,1515870399.160145,4
"[652, 473]",1515870411.168562,1515870432.517729,4
"[652, 474]",1515870444.527741,1515870465.876392,4
"[652, 475]",1515870477.885465,1515870499.232794,4
"[652, 476]",1515870511.245879,1515870532.59488,4
"[652, 477]",1515870544.60617,1515870565.954349,4
"[652, 478]",1515870577.963886,1515870599.311526,4
"[652, 479]",1515870611.319077,1515870632.667409,4
"[652, 480]",1515870644.672374,1515870666.020902,4
"[652, 481]",1515870678.030078,1515870699.378842,4
"[652, 482]",1515870711.390059,1515870732.738223,4
"[652, 483]",1515870744.743302,1515870766.091607,4
"[652, 484]",1515870778.100932,1515870799.44746,4
"[652, 485]",1515870811.454726,1515870832.803374,4
"[652, 486]",1515870844.814563,1515870866.162955,4
"[652, 487]",1515870878.171796,1515870899.520914,4
"[652, 488]",1515870911.529554,1515870932.878026,4
"[652, 489]",1515870944.891694,1515870966.237823,4
"[652, 490]",1515870978.250688,1515870999.594493,4
"[652, 491]",1515871011.603688,1515871032.613577,4
"[652, 492]",1515871044.622539,1515871065.970797,4
"[652, 493]",1515871077.981902,1515871099.329424,4
"[652, 494]",1515871111.339875,1515871132.687914,4
"[652, 495]",1515871144.696069,1515871166.043993,4
"[652, 496]",1515871178.051656,1515871199.399451,4
"[652, 497]",1515871211.406478,1515871232.754164,4
"[652, 498]",1515871244.762101,1515871266.110124,4
"[652, 499]",1515871278.120994,1515871299.469402,4
"[652, 500]",1515871311.480549,1515871332.828263,4
"[652, 501]",1515871344.831719,1515871366.179706,4
"[652, 502]",1515871378.190057,1515871399.537542,4
"[652, 503]",1515871411.544188,1515871432.892347,4
"[652, 504]",1515871444.901212,1515871466.249388,4
"[652, 505]",1515871478.258972,1515871499.6079,4
"[652, 506]",1515871511.616304,1515871532.964807,4
"[652, 507]",1515871544.972114,1515871566.320029,4
"[652, 508]",1515871578.326358,1515871599.674897,4
"[652, 509]",1515871611.684259,1515871633.032395,4
"[652, 510]",1515871645.042483,1515871666.391004,4
"[652, 511]",1515871678.399346,1515871699.746817,4
"[652, 512]",1515871711.75579,1515871733.104716,4
"[652, 513]",1515871745.112787,1515871766.46118,4
"[652, 514]",1515871778.470275,1515871799.818013,4
"[652, 515]",1515871811.828254,1515871833.174735,4
"[652, 516]",1515871845.181324,1515871866.529358,4
"[652, 517]",1515871878.540021,1515871899.888694,4
"[652, 518]",1515871911.89846,1515871933.246308,4
"[652, 519]",1515871945.254731,1515871966.602848,4
"[652, 520]",1515871978.611976,1515871999.959581,4
"[652, 521]",1515872011.971088,1515872033.319294,4
"[652, 522]",1515872045.328019,1515872066.676139,4
"[652, 523]",1515872078.686247,1515872100.030558,4
"[652, 524]",1515872112.040987,1515872133.388618,4
"[652, 525]",1515872145.395966,1515872166.743589,4
"[652, 526]",1515872178.754826,1515872200.101597,4
"[652, 527]",1515872212.112556,1515872233.461125,4
"[652, 528]",1515872245.472169,1515872266.820301,4
"[652, 529]",1515872278.830098,1515872300.178167,4
"[652, 530]",1515872312.186851,1515872333.534102,4
"[652, 531]",1515872345.544095,1515872366.892583,4
"[652, 532]",1515872378.902517,1515872400.249456,4
"[652, 533]",1515872412.262728,1515872433.611312,4
"[652, 534]",1515872445.620662,1515872466.968505,4
"[652, 535]",1515872478.977968,1515872500.326758,4
"[652, 536]",1515872512.33629,1515872533.685236,4
"[652, 537]",1515872545.694462,1515872567.043244,4
"[652, 538]",1515872579.051626,1515872600.400176,4
"[652, 539]",1515872612.413822,1515872633.761895,4
"[652, 540]",1515872645.775951,1515872667.119425,4
"[652, 541]",1515872679.129003,1515872700.477251,4
"[652, 542]",1515872712.485973,1515872733.833215,4
"[652, 543]",1515872745.840281,1515872767.18879,4
"[652, 544]",1515872779.197444,1515872800.207391,4
"[652, 545]",1515872812.214713,1515872833.562542,4
"[652, 546]",1515872845.574067,1515872866.922186,4
"[652, 547]",1515872878.930445,1515872899.941138,4
"[652, 548]",1515872911.95187,1515872933.299647,4
"[652, 549]",1515872945.303132,1515872966.65096,4
"[652, 550]",1515872978.658835,1515873000.007094,4
"[652, 551]",1515873012.018473,1515873033.366536,4
"[652, 552]",1515873045.374765,1515873066.722754,4
"[652, 553]",1515873078.731436,1515873100.079496,4
"[652, 554]",1515873112.088508,1515873133.436256,4
"[652, 555]",1515873145.444828,1515873166.793483,4
"[652, 556]",1515873178.800262,1515873200.148347,4
"[652, 557]",1515873212.158271,1515873233.507107,4
"[652, 558]",1515873245.51633,1515873266.864067,4
"[652, 559]",1515873278.871132,1515873300.21902,4
"[652, 560]",1515873312.230385,1515873333.579024,4
"[652, 561]",1515873345.588566,1515873366.936001,4
"[652, 562]",1515873378.946071,1515873400.29327,4
"[652, 563]",1515873412.304191,1515873433.652286,4
"[652, 564]",1515873445.66342,1515873467.010975,4
"[652, 565]",1515873479.018097,1515873500.366805,4
"[652, 566]",1515873512.377335,1515873533.387966,4
"[652, 567]",1515873545.399266,1515873566.746233,4
"[652, 568]",1515873578.756198,1515873599.767423,4
"[652, 569]",1515873611.776059,1515873632.788038,4
"[652, 570]",1515873644.79752,1515873666.145216,4
"[652, 571]",1515873678.157104,1515873699.506163,4
"[652, 572]",1515873711.519208,1515873732.866763,4
"[652, 573]",1515873744.876059,1515873766.224346,4
"[652, 574]",1515873778.234723,1515873799.580926,4
"[652, 575]",1515873811.588095,1515873832.935972,4
"[652, 576]",1515873844.943786,1515873866.288568,4
"[652, 577]",1515873878.298061,1515873899.645759,4
"[652, 578]",1515873911.653344,1515873933.002471,4
"[652, 579]",1515873945.008069,1515873966.355693,4
"[652, 580]",1515873978.36755,1515873999.717226,4
"[652, 581]",1515874011.727395,1515874033.075823,4
"[652, 582]",1515874045.089693,1515874066.438044,4
"[652, 583]",1515874078.442981,1515874099.453089,4
"[652, 584]",1515874111.466839,1515874132.815179,4
"[652, 585]",1515874144.823428,1515874166.17137,4
"[652, 586]",1515874178.184327,1515874199.532174,4
"[652, 587]",1515874211.539319,1515874232.888132,4
"[652, 588]",1515874244.898075,1515874266.246264,4
"[652, 589]",1515874278.257081,1515874299.606159,4
"[652, 590]",1515874311.613469,1515874332.959206,4
"[652, 591]",1515874344.968003,1515874366.317073,4
"[652, 592]",1515874378.324797,1515874399.673252,4
"[652, 593]",1515874411.681602,1515874433.029357,4
"[652, 594]",1515874445.037502,1515874466.38722,4
"[652, 595]",1515874478.395323,1515874499.741514,4
"[652, 596]",1515874511.750835,1515874533.098758,4
"[652, 597]",1515874545.111574,1515874566.460871,4
"[652, 598]",1515874578.473796,1515874599.819287,4
"[652, 599]",1515874611.829548,1515874633.177621,4
"[652, 600]",1515874645.185003,1515874666.5333,4
"[652, 601]",1515874678.539267,1515874699.884489,4
